domain,career_link,has_jobs
stripe.com,https://stripe.com/in/jobs,Yes
notion.so,https://notion.so/careers/open-positions,No
linear.app,https://linear.app/careers,Yes
figma.com,https://figma.com/about/careers,No
turing.com,https://turing.com/careers/jobs,No
retool.com,https://retool.com/careers,Yes
airtable.com,https://airtable.com/jobs,Yes
zapier.com,https://zapier.com/about/careers,No
sentry.io,https://sentry.io/careers/,No
loom.com,https://loom.com/careers,Yes
vercel.com,https://vercel.com/jobs,Yes
hashicorp.com,https://hashicorp.com/careers/jobs,No
mongodb.com,https://mongodb.com/careers/open-positions,No
monday.com,https://monday.com/careers,Yes
databricks.com,https://databricks.com/careers/open-positions,No
atlassian.com,https://atlassian.com/careers/jobs,Yes
asana.com,https://asana.com/careers,Yes
clickup.com,https://clickup.com/careers/jobs,Yes
freshworks.com,https://www.freshworks.com/freshdesk/omni/,No
hubspot.com,https://hubspot.com/careers/jobs,Yes
intercom.com,https://intercom.com/jobs,No
mailchimp.com,https://mailchimp.com/jobs,Yes
webflow.com,https://webflow.com/careers/jobs,Yes
digitalocean.com,https://digitalocean.com/about/careers,No
scale.com,https://scale.com/careers/open-positions,Yes
anthropic.com,https://anthropic.com/jobs,Yes
benchling.com,https://benchling.com/careers,Yes
brex.com,https://brex.com/careers,Yes
confluent.io,https://confluent.io/jobs,Yes
docker.com,https://docker.com/careers/jobs,No
duolingo.com,https://duolingo.com/careers,No
fastly.com,https://fastly.com/careers/open-positions,No
gitlab.com,https://gitlab.com/careers,Yes
grafana.com,https://grafana.com/jobs,No
launchdarkly.com,https://launchdarkly.com/careers/open-positions,No
mixpanel.com,https://mixpanel.com/careers,Yes
netlify.com,https://netlify.com/careers/open-positions,Yes
palantir.com,https://palantir.com/careers,Yes
pagerduty.com,https://pagerduty.com/careers/jobs,Yes
plaid.com,https://plaid.com/how-it-works-for-consumers/,No
ramp.com,https://ramp.com/jobs,Yes
remotion.dev,https://remotion.dev/careers/open-positions,No
segment.com,https://segment.com/careers,Yes
supabase.com,https://supabase.com/careers,Yes
tigrisdata.com,https://tigrisdata.com/careers,Yes
vanta.com,https://vanta.com/products/custom-frameworks,No
wix.com,https://wix.com/jobs,Yes
