domain,career_link,has_jobs
stripe.com,https://stripe.com/in/jobs,Yes
stripe.com,https://stripe.com/careers/jobs,No
stripe.com,https://stripe.com/careers/open-positions,No
stripe.com,https://stripe.com/jobs,Yes
stripe.com,https://stripe.com/about/careers,No
stripe.com,https://stripe.com/careers,Yes
notion.so,https://notion.so/careers/open-positions,No
notion.so,https://notion.so/about/careers,No
notion.so,https://notion.so/careers,Yes
notion.so,https://notion.so/careers/jobs,No
notion.so,https://notion.so/jobs,Yes
linear.app,https://linear.app/careers,Yes
linear.app,https://linear.app/careers/jobs,Yes
linear.app,https://linear.app/about/careers,Yes
linear.app,https://linear.app/jobs,Yes
linear.app,https://linear.app/careers/open-positions,Yes
linear.app,https://linear.app/join-slack,Fetch Failed
figma.com,https://figma.com/about/careers,No
figma.com,https://figma.com/careers/jobs,No
figma.com,https://figma.com/careers/open-positions,No
figma.com,https://www.figma.com/figjam/agile-workflows/,No
figma.com,https://figma.com/jobs,Yes
figma.com,https://www.figma.com/careers/,Yes
figma.com,https://figma.com/careers,Yes
turing.com,https://turing.com/careers/jobs,No
turing.com,https://turing.com/jobs,No
turing.com,https://turing.com/careers,No
turing.com,https://turing.com/about/careers,No
turing.com,https://turing.com/careers/open-positions,No
retool.com,https://retool.com/blog/retool-automates-100-million-hours-of-work-launching-agents,No
retool.com,https://retool.com/careers,Yes
retool.com,https://retool.com/careers/open-positions,Yes
retool.com,https://retool.com/hire-developer,Yes
retool.com,https://retool.com/jobs,Yes
retool.com,https://retool.com/workflows,Yes
retool.com,https://retool.com/careers/jobs,Yes
retool.com,https://retool.com/about/careers,No
airtable.com,https://airtable.com/jobs,Yes
airtable.com,https://airtable.com/careers/jobs,Yes
airtable.com,https://airtable.com/careers,Yes
airtable.com,https://airtable.com/careers/open-positions,Yes
airtable.com,https://airtable.com/about/careers,No
zapier.com,https://zapier.com/about/careers,No
zapier.com,https://zapier.com/l/workato-vs-zapier/,No
zapier.com,https://zapier.com/careers/jobs,No
zapier.com,https://zapier.com/workflows,No
zapier.com,https://zapier.com/apps/teamwork-desk/integrations,No
zapier.com,https://zapier.com/careers,No
zapier.com,https://zapier.com/careers/open-positions,No
zapier.com,https://zapier.com/jobs,No
sentry.io,https://sentry.io/careers/,Yes
sentry.io,https://sentry.io/jobs,Yes
sentry.io,https://sentry.io/careers/open-positions,No
sentry.io,https://sentry.io/careers/jobs,No
sentry.io,https://sentry.io/careers,Yes
sentry.io,https://sentry.io/about/careers,No
loom.com,https://loom.com/careers/open-positions,No
loom.com,https://loom.com/about/careers,No
loom.com,https://loom.com/careers,Yes
loom.com,https://loom.com/careers/jobs,No
loom.com,https://loom.com/jobs,No
vercel.com,https://vercel.com/jobs,Yes
vercel.com,https://vercel.com/frameworks/nextjs,No
vercel.com,https://vercel.com/about/careers,No
vercel.com,https://vercel.com/careers/jobs,Yes
vercel.com,https://vercel.com/careers,Yes
vercel.com,https://vercel.com/careers/open-positions,Yes
hashicorp.com,https://hashicorp.com/careers/jobs,Yes
hashicorp.com,https://hashicorp.com/jobs,Yes
hashicorp.com,https://hashicorp.com/about/careers,Yes
hashicorp.com,https://hashicorp.com/careers,Yes
hashicorp.com,https://hashicorp.com/careers/open-positions,Yes
hashicorp.com,https://hashicorp.com/en/careers,Yes
mongodb.com,https://mongodb.com/careers/open-positions,No
mongodb.com,https://cloud.mongodb.com/ecosystem/fireworks-ai,Yes
mongodb.com,https://www.mongodb.com/company/careers,Yes
mongodb.com,https://mongodb.com/careers,Yes
mongodb.com,https://mongodb.com/careers/jobs,Yes
mongodb.com,https://www.mongodb.com/careers,Yes
mongodb.com,https://mongodb.com/about/careers,No
mongodb.com,https://mongodb.com/jobs,Yes
monday.com,https://monday.com/workdocs,Yes
monday.com,https://monday.com/academy/view/certification/work-management-core-certification,No
monday.com,https://monday.com/careers,Yes
monday.com,https://monday.com/careers/jobs,Yes
monday.com,https://monday.com/w/work-management,Yes
monday.com,https://monday.com/about/careers,Yes
monday.com,https://monday.com/careers/open-positions,Yes
monday.com,https://monday.com/jobs,Yes
monday.com,https://monday.com/work-management/pmo,Unclear
monday.com,https://monday.com/work-management/marketing,Unclear
databricks.com,https://databricks.com/careers/open-positions,No
databricks.com,https://databricks.com/careers/jobs,No
databricks.com,https://www.databricks.com/company/careers,Yes
databricks.com,https://databricks.com/jobs,Yes
databricks.com,https://databricks.com/about/careers,No
databricks.com,https://databricks.com/careers,Yes
databricks.com,https://databricks.com/company/careers,Yes
databricks.com,https://databricks.com/company/careers/open-positions,Yes
atlassian.com,https://atlassian.com/system-of-work,Yes
atlassian.com,https://atlassian.com/careers/jobs,Yes
atlassian.com,https://atlassian.com/jobs,Yes
atlassian.com,https://atlassian.com/about/careers,Yes
atlassian.com,https://atlassian.com/careers/open-positions,Yes
atlassian.com,https://atlassian.com/work-management/project-management,No
atlassian.com,https://atlassian.com/careers,Yes
atlassian.com,https://atlassian.com/work-management/project-collaboration,No
atlassian.com,https://atlassian.com/collections/teamwork,No
atlassian.com,https://atlassian.com/company/careers,Yes
asana.com,https://asana.com/careers,Yes
asana.com,https://asana.com/about/careers,No
asana.com,https://asana.com/resources/forrester-wave-collaborative-work-management-2025,Yes
asana.com,https://resources.asana.com/driving-real-results-AI-work-management.html?utm_source=web_banner&utm_medium=website&utm_campaign=for26&utm_content=inline,No
asana.com,https://asana.com/resources/forrester-wave-collaborative-work-management-2022,Yes
asana.com,https://asana.com/resources/gartner-magic-quadrant-collaborative-work-management-2024,No
asana.com,https://asana.com/careers/open-positions,No
asana.com,https://asana.com/careers/jobs,No
asana.com,https://asana.com/features/workflow-automation,No
asana.com,https://asana.com/jobs,Yes
clickup.com,https://clickup.com/about/careers,No
clickup.com,https://clickup.com/careers/jobs,Yes
clickup.com,https://help.clickup.com/hc/en-us/articles/6328033402007-How-to-Add-Proofing-to-Your-Workflow,No
clickup.com,https://clickup.com/careers,Yes
clickup.com,https://help.clickup.com/hc/en-us/articles/6310449699735-Use-Workload-view,No
clickup.com,https://clickup.com/careers/open-positions,Yes
clickup.com,https://clickup.com/jobs,Yes
freshworks.com,https://www.freshworks.com/freshdesk/omni/,No
freshworks.com,https://freshworks.com/about/careers,No
freshworks.com,https://freshworks.com/careers/jobs,No
freshworks.com,https://www.freshworks.com/live-chat-software/,No
freshworks.com,https://www.freshworks.com/jp/,No
freshworks.com,https://www.freshworks.com/freshservice/msp/,No
freshworks.com,https://www.freshworks.com/freddy-ai/,No
freshworks.com,https://www.freshworks.com/de/,No
freshworks.com,https://www.freshworks.com/company/about/,No
freshworks.com,https://www.freshworks.com/resources/ai-empowered-cio-strategies/,No
freshworks.com,https://www.freshworks.com/privacy/ccpa-requests/,No
freshworks.com,https://www.freshworks.com/es/,No
freshworks.com,https://www.freshworks.com/resources/customer-service-benchmark-report-2025/,No
freshworks.com,https://www.freshworks.com/freshservice/product-updates/,No
freshworks.com,https://www.freshworks.com/cn/,No
freshworks.com,https://www.freshworks.com/partners/,No
freshworks.com,https://freshworks.com/jobs,No
freshworks.com,https://ir.freshworks.com/,No
freshworks.com,https://www.freshworks.com/vi/,No
